,0
1070,"10,877,957"
1071,"10,877,728"
1072,"10,874,469"
1073,"10,874,464"
1074,"10,874,377"
1075,"10,872,438"
1076,"10,872,420"
1077,"10,872,125"
1078,"10,871,535"
1079,"10,871,302"
1080,"10,870,348"
1081,"10,869,628"
1082,"10,868,893"
1083,"10,868,820"
1084,"10,867,618"
1085,"10,866,985"
1086,"10,866,108"
1087,"10,864,638"
1088,"10,862,928"
1089,"10,862,914"
1090,"10,862,906"
1091,"10,862,501"
1092,"10,861,608"
1093,"10,861,281"
1094,"10,861,178"
1095,"10,861,143"
1096,"10,860,985"
1097,"10,860,860"
1098,"10,860,856"
1099,"10,860,024"
1100,"10,855,714"
1101,"10,854,585"
1102,"10,854,202"
1103,"10,854,055"
1104,"10,854,006"
1105,"10,853,986"
1106,"10,853,697"
1107,"10,853,596"
1108,"10,853,459"
1109,"10,852,737"
1110,"10,848,791"
1111,"10,848,508"
1112,"10,848,499"
1113,"10,848,339"
1114,"10,848,167"
1115,"10,848,090"
1116,"10,847,032"
1117,"10,846,982"
1118,"10,846,875"
1119,"10,846,622"
1120,"10,846,620"
1121,"10,846,480"
1122,"10,846,342"
1123,"10,846,326"
1124,"10,845,809"
1125,"10,841,514"
1126,"10,841,153"
1127,"10,839,794"
1128,"10,839,565"
1129,"10,839,454"
1130,"10,839,215"
1131,"10,839,069"
1132,"10,839,017"
1133,"10,838,797"
1134,"10,834,562"
1135,"10,834,523"
1136,"10,834,365"
1137,"10,834,363"
1138,"10,834,142"
1139,"10,833,737"
1140,"10,833,010"
1141,"10,832,543"
1142,"10,832,447"
1143,"10,832,437"
1144,"10,832,180"
1145,"10,832,172"
1146,"10,832,014"
1147,"10,832,004"
1148,"10,831,629"
1149,"10,828,015"
1150,"10,827,335"
1151,"10,827,323"
1152,"10,827,071"
1153,"10,826,525"
1154,"10,825,446"
1155,"10,825,303"
1156,"10,825,254"
1157,"10,825,227"
1158,"10,825,206"
1159,"10,825,205"
1160,"10,825,204"
1161,"10,825,203"
1162,"10,825,141"
1163,"10,825,140"
1164,"10,825,139"
1165,"10,824,702"
1166,"10,824,146"
1167,"10,823,685"
1168,"10,822,108"
1169,"10,820,027"
1170,"10,819,993"
1171,"10,819,992"
1172,"10,819,844"
1173,"10,819,806"
1174,"10,819,283"
1175,"10,818,070"
1176,"10,817,990"
1177,"10,817,989"
1178,"10,817,988"
1179,"10,817,987"
1180,"10,817,986"
1181,"10,817,985"
1182,"10,817,958"
1183,"10,817,270"
1184,"10,816,978"
1185,"10,814,784"
1186,"10,814,354"
1187,"10,812,846"
1188,"10,811,139"
1189,"10,811,135"
1190,"10,810,709"
1191,"10,810,641"
1192,"10,810,509"
1193,"10,810,371"
1194,"10,810,272"
1195,"10,809,516"
1196,"10,809,079"
1197,"10,805,343"
1198,"10,804,925"
1199,"10,803,863"
1200,"10,803,504"
1201,"10,803,323"
1202,"10,799,798"
1203,"10,798,084"
1204,"10,797,934"
1205,"10,796,793"
1206,"10,796,700"
1207,"10,796,228"
1208,"10,796,219"
1209,"10,796,080"
1210,"10,794,887"
1211,"10,792,422"
1212,"10,791,170"
1213,"10,789,943"
1214,"10,789,769"
1215,"10,789,755"
1216,"10,789,508"
1217,"10,789,046"
1218,"10,788,835"
1219,"10,787,762"
1220,"10,785,314"
1221,"10,784,000"
1222,"10,783,700"
1223,"10,783,375"
1224,"10,783,068"
1225,"10,779,787"
1226,"10,778,717"
1227,"10,777,200"
1228,"10,777,196"
1229,"10,777,097"
1230,"10,776,978"
1231,"10,776,686"
1232,"10,776,642"
1233,"10,776,086"
1234,"10,775,968"
1235,"10,772,527"
1236,"10,771,529"
1237,"10,769,940"
1238,"10,769,807"
1239,"10,769,570"
1240,"10,769,205"
1241,"10,768,887"
1242,"10,764,534"
1243,"10,764,150"
1244,"10,762,901"
1245,"10,762,431"
1246,"10,762,414"
1247,"10,762,304"
1248,"10,762,295"
1249,"10,762,198"
1250,"10,762,192"
1251,"10,758,660"
1252,"10,758,066"
1253,"10,757,711"
1254,"10,757,256"
1255,"10,755,342"
1256,"10,755,188"
1257,"10,755,148"
1258,"10,755,053"
1259,"10,755,048"
1260,"10,754,882"
1261,"10,750,655"
1262,"10,750,017"
1263,"10,748,346"
1264,"10,748,288"
1265,"10,748,099"
1266,"10,748,067"
1267,"10,747,631"
1268,"10,745,009"
1269,"10,742,813"
1270,"10,742,808"
1271,"10,742,605"
1272,"10,741,179"
1273,"10,740,716"
1274,"10,740,448"
1275,"10,736,582"
1276,"10,735,490"
1277,"10,733,558"
1278,"10,733,540"
1279,"10,733,532"
1280,"10,733,531"
1281,"10,733,496"
1282,"10,733,381"
1283,"10,733,197"
1284,"10,733,039"
1285,"10,728,954"
1286,"10,726,826"
1287,"10,726,535"
1288,"10,726,491"
1289,"10,726,434"
1290,"10,726,359"
1291,"10,726,307"
1292,"10,725,827"
1293,"10,725,820"
1294,"10,724,978"
1295,"10,723,479"
1296,"10,719,868"
1297,"10,719,720"
1298,"10,719,596"
1299,"10,719,542"
1300,"10,719,069"
1301,"10,717,193"
1302,"10,717,002"
1303,"10,715,662"
1304,"10,715,329"
1305,"10,714,084"
1306,"10,713,564"
1307,"10,713,442"
1308,"10,713,045"
1309,"10,712,970"
1310,"10,709,390"
1311,"10,708,363"
1312,"10,707,578"
1313,"10,706,347"
1314,"10,706,329"
1315,"10,706,236"
1316,"10,706,030"
1317,"10,705,812"
1318,"10,701,135"
1319,"10,700,695"
1320,"10,699,799"
1321,"10,699,716"
1322,"10,699,703"
1323,"10,699,696"
1324,"10,699,271"
1325,"10,699,079"
1326,"10,699,062"
1327,"10,698,932"
1328,"10,697,134"
1329,"10,693,652"
1330,"10,692,499"
1331,"10,692,364"
1332,"10,692,058"
1333,"10,692,016"
1334,"10,691,897"
1335,"10,691,337"
1336,"10,690,646"
1337,"10,690,504"
1338,"10,687,751"
1339,"10,687,273"
1340,"10,685,655"
1341,"10,685,080"
1342,"10,684,940"
1343,"10,684,929"
1344,"10,684,231"
1345,"10,681,056"
1346,"10,681,032"
1347,"10,680,326"
1348,"10,679,256"
1349,"10,679,229"
1350,"10,679,128"
1351,"10,679,015"
1352,"10,678,830"
1353,"10,673,886"
1354,"10,673,876"
1355,"10,673,786"
1356,"10,672,455"
1357,"10,671,942"
1358,"10,671,938"
1359,"10,671,915"
1360,"10,671,614"
1361,"10,671,435"
